date,탄핵,김광석
2020-08-09,2,1
2020-08-16,1,1
2020-08-23,0,0
2020-08-30,1,1
2020-09-06,1,2
2020-09-13,1,1
2020-09-20,0,2
2020-09-27,0,2
2020-10-04,1,1
2020-10-11,0,1
2020-10-18,1,1
2020-10-25,1,2
2020-11-01,1,1
2020-11-08,1,2
2020-11-15,1,1
2020-11-22,1,1
2020-11-29,2,2
2020-12-06,1,1
2020-12-13,1,1
2020-12-20,3,1
2020-12-27,1,1
2021-01-03,1,1
2021-01-10,2,2
2021-01-17,1,1
2021-01-24,1,2
2021-01-31,4,2
2021-02-07,2,2
2021-02-14,1,2
2021-02-21,0,1
2021-02-28,0,2
2021-03-07,0,1
2021-03-14,0,0
2021-03-21,0,1
2021-03-28,0,1
2021-04-04,0,1
2021-04-11,0,2
2021-04-18,1,1
2021-04-25,1,1
2021-05-02,1,1
2021-05-09,1,1
2021-05-16,0,1
2021-05-23,1,2
